date;value
27.11.2020;17119.25
26.11.2020;16956.94
25.11.2020;18834.53
24.11.2020;19015.44
23.11.2020;18359.64
22.11.2020;18521.15
21.11.2020;18614.76
20.11.2020;18649.24
19.11.2020;17959.28
18.11.2020;17614.95
17.11.2020;17646.10
16.11.2020;16763.39
15.11.2020;15856.73
14.11.2020;15962.08
13.11.2020;16190.28
12.11.2020;16096.26
11.11.2020;15692.02
10.11.2020;15319.88
09.11.2020;15448.51
08.11.2020;15396.20
07.11.2020;14836.46
06.11.2020;15466.48
05.11.2020;15091.65
04.11.2020;14038.74
03.11.2020;13731.21
02.11.2020;13550.49
01.11.2020;13737.11
31.10.2020;13780.99
30.10.2020;13546.52
29.10.2020;13437.88
28.10.2020;13271.29
27.10.2020;13654.22
26.10.2020;13075.25
25.10.2020;13031.17
24.10.2020;13108.06
23.10.2020;12931.54
22.10.2020;12965.89
21.10.2020;12823.69
20.10.2020;11916.34
19.10.2020;11742.04
18.10.2020;11483.36
17.10.2020;11358.10
16.10.2020;11322.12
15.10.2020;11495.35
14.10.2020;11429.51
13.10.2020;11425.90
12.10.2020;11555.36
11.10.2020;11384.18
10.10.2020;11296.36
09.10.2020;11052.05
08.10.2020;10923.63
07.10.2020;10679.14
06.10.2020;10546.10
05.10.2020;10804.00
04.10.2020;10661.05
03.10.2020;10565.49
02.10.2020;10555.82
01.10.2020;10623.33
30.09.2020;10787.62
29.09.2020;10848.83
28.09.2020;10721.33
27.09.2020;10774.43
26.09.2020;10724.98
25.09.2020;10702.29
24.09.2020;10745.55
23.09.2020;10225.86
22.09.2020;10538.46
21.09.2020;10462.26
20.09.2020;10938.27
19.09.2020;11094.35
18.09.2020;10944.59
17.09.2020;10948.99
16.09.2020;10974.90
15.09.2020;10796.95
14.09.2020;10680.84
13.09.2020;10323.76
12.09.2020;10442.17
11.09.2020;10400.91
10.09.2020;10319.06
09.09.2020;10242.35
08.09.2020;10131.52
07.09.2020;10369.56
06.09.2020;10280.35
05.09.2020;10169.57
04.09.2020;10511.81
03.09.2020;10245.30
02.09.2020;11414.03
01.09.2020;11970.48
31.08.2020;11680.82
30.08.2020;11711.51
29.08.2020;11506.87
28.08.2020;11542.50
27.08.2020;11323.40
26.08.2020;11488.36
25.08.2020;11366.14
24.08.2020;11774.60
23.08.2020;11664.85
22.08.2020;11681.83
21.08.2020;11592.49
20.08.2020;11878.37
19.08.2020;11758.28
18.08.2020;11991.23
17.08.2020;12254.40
16.08.2020;11892.80
15.08.2020;11865.70
14.08.2020;11768.87
13.08.2020;11784.14
12.08.2020;11584.93
11.08.2020;11410.53
10.08.2020;11878.11
09.08.2020;11675.74
08.08.2020;11754.05
07.08.2020;11601.47
06.08.2020;11779.77
05.08.2020;11747.02
04.08.2020;11205.89
03.08.2020;11246.35
02.08.2020;11053.61
01.08.2020;11759.59
31.07.2020;11323.47
30.07.2020;11111.21
29.07.2020;11100.47
28.07.2020;10912.82
27.07.2020;10990.87
26.07.2020;9905.17
25.07.2020;9677.11
24.07.2020;9536.89
23.07.2020;9581.07
22.07.2020;9525.36
21.07.2020;9374.89
20.07.2020;9164.23
19.07.2020;9185.82
18.07.2020;9159.04
17.07.2020;9151.39
16.07.2020;9132.23
15.07.2020;9192.84
14.07.2020;9243.21
13.07.2020;9243.61
12.07.2020;9276.50
11.07.2020;9240.35
10.07.2020;9278.81
09.07.2020;9277.97
08.07.2020;9428.33
07.07.2020;9252.28
06.07.2020;9375.47
05.07.2020;9073.94
04.07.2020;9132.49
03.07.2020;9087.30
02.07.2020;9123.41
01.07.2020;9228.33
30.06.2020;9137.99
29.06.2020;9190.85
28.06.2020;9143.58
27.06.2020;9045.39
26.06.2020;9162.92
25.06.2020;9264.81
24.06.2020;9313.61
23.06.2020;9629.66
22.06.2020;9648.72
21.06.2020;9303.63
20.06.2020;9332.34
19.06.2020;9288.02
18.06.2020;9411.84
17.06.2020;9480.26
16.06.2020;9538.02
15.06.2020;9450.70
14.06.2020;9386.79
13.06.2020;9475.28
12.06.2020;9480.84
11.06.2020;9321.78
10.06.2020;9870.09
09.06.2020;9795.70
08.06.2020;9771.49
07.06.2020;9758.85
06.06.2020;9653.68
05.06.2020;9665.53
04.06.2020;9800.64
03.06.2020;9656.72
02.06.2020;9529.80
01.06.2020;10167.27
31.05.2020;9461.06
30.05.2020;9700.41
29.05.2020;9439.12
28.05.2020;9525.75
27.05.2020;9181.02
26.05.2020;8835.05
25.05.2020;8906.93
24.05.2020;8790.37
23.05.2020;9209.29
22.05.2020;9182.58
21.05.2020;9081.76
20.05.2020;9522.98
19.05.2020;9729.04
18.05.2020;9726.57
17.05.2020;9670.74
16.05.2020;9377.01
15.05.2020;9328.20
14.05.2020;9733.72
13.05.2020;9269.99
12.05.2020;8804.48
11.05.2020;8601.80
10.05.2020;8756.43
09.05.2020;9593.90
08.05.2020;9842.67
07.05.2020;9951.52
06.05.2020;9268.76
05.05.2020;9003.07
04.05.2020;8912.65
03.05.2020;8897.47
02.05.2020;8988.60
01.05.2020;8864.77
30.04.2020;8658.55
29.04.2020;8801.04
28.04.2020;7807.06
27.04.2020;7795.60
26.04.2020;7679.87
25.04.2020;7569.94
24.04.2020;7550.90
23.04.2020;7429.72
22.04.2020;7117.21
21.04.2020;6880.32
20.04.2020;6881.96
19.04.2020;7189.42
18.04.2020;7257.66
17.04.2020;7096.18
16.04.2020;7116.80
15.04.2020;6642.11
14.04.2020;6842.43
13.04.2020;6845.04
12.04.2020;6971.09
11.04.2020;6859.08
10.04.2020;6865.49
09.04.2020;7302.09
08.04.2020;7334.10
07.04.2020;7176.41
06.04.2020;7271.78
05.04.2020;6791.13
04.04.2020;6867.53
03.04.2020;6733.39
02.04.2020;6793.62
01.04.2020;6606.78
31.03.2020;6438.64
30.03.2020;6429.84
29.03.2020;5922.04
28.03.2020;6242.19
27.03.2020;6469.80
26.03.2020;6716.44
25.03.2020;6681.06
24.03.2020;6734.80
23.03.2020;6416.31
22.03.2020;5830.25
21.03.2020;6185.07
20.03.2020;6198.78
19.03.2020;6191.19
18.03.2020;5238.44
17.03.2020;5225.63
16.03.2020;5014.48
15.03.2020;5392.31
14.03.2020;5200.37
13.03.2020;5563.71
12.03.2020;4970.79
11.03.2020;7911.43
10.03.2020;7909.73
09.03.2020;7923.64
08.03.2020;8108.12
07.03.2020;8909.95
06.03.2020;9122.55
05.03.2020;9078.76
04.03.2020;8755.25
03.03.2020;8787.79
02.03.2020;8869.67
01.03.2020;8562.45
29.02.2020;8599.51
28.02.2020;8672.46
27.02.2020;8784.49
26.02.2020;8820.52
25.02.2020;9341.71
24.02.2020;9650.17
23.02.2020;9924.52
22.02.2020;9663.18
21.02.2020;9686.44
20.02.2020;9608.48
19.02.2020;9633.39
18.02.2020;10142.00
17.02.2020;9690.14
16.02.2020;9934.43
15.02.2020;9889.42
14.02.2020;10312.12
13.02.2020;10214.38
12.02.2020;10326.05
11.02.2020;10208.24
10.02.2020;9856.61
09.02.2020;10116.67
08.02.2020;9865.12
07.02.2020;9795.94
06.02.2020;9729.80
05.02.2020;9613.42
04.02.2020;9180.96
03.02.2020;9293.52
02.02.2020;9344.37
01.02.2020;9392.88
31.01.2020;9350.53
30.01.2020;9508.99
29.01.2020;9316.63
28.01.2020;9358.59
27.01.2020;8909.82
26.01.2020;8596.83
25.01.2020;8367.85
24.01.2020;8445.43
23.01.2020;8406.52
22.01.2020;8680.88
21.01.2020;8745.89
20.01.2020;8657.64
19.01.2020;8706.25
18.01.2020;8942.81
17.01.2020;8929.04
16.01.2020;8723.79
15.01.2020;8807.01
14.01.2020;8827.76
13.01.2020;8144.19
12.01.2020;8192.49
11.01.2020;8037.54
10.01.2020;8166.55
09.01.2020;7879.07
08.01.2020;8079.86
07.01.2020;8163.69
06.01.2020;7769.22
05.01.2020;7411.32
04.01.2020;7410.66
03.01.2020;7344.88
02.01.2020;6985.47
01.01.2020;7200.17
31.12.2019;7193.60
30.12.2019;7293.00
29.12.2019;7422.65
28.12.2019;7317.99
27.12.2019;7290.09
26.12.2019;7238.97
25.12.2019;7275.16
24.12.2019;7322.53
23.12.2019;7355.63
22.12.2019;7511.59
21.12.2019;7191.16
20.12.2019;7218.82
19.12.2019;7202.84
18.12.2019;7276.80
17.12.2019;6640.52
16.12.2019;6932.48
15.12.2019;7152.30
14.12.2019;7124.67
13.12.2019;7269.68
12.12.2019;7243.13
11.12.2019;7217.43
10.12.2019;7278.12
09.12.2019;7400.90
08.12.2019;7564.35
07.12.2019;7556.24
06.12.2019;7547.00
05.12.2019;7448.31
04.12.2019;7453.35
03.12.2019;7344.96
02.12.2019;7317.27
01.12.2019;7389.94
30.11.2019;7528.23
29.11.2019;7770.53
28.11.2019;7654.18
27.11.2019;7581.03
26.11.2019;7190.52
25.11.2019;7159.18
24.11.2019;7090.01
23.11.2019;7341.92
22.11.2019;7366.07
21.11.2019;7610.88
20.11.2019;8048.12
19.11.2019;8187.70
18.11.2019;8284.09
17.11.2019;8695.20
16.11.2019;8533.65
15.11.2019;8500.72
14.11.2019;8708.99
13.11.2019;8806.76
12.11.2019;8777.96
11.11.2019;8765.44
10.11.2019;9052.40
09.11.2019;8818.96
08.11.2019;8842.05
07.11.2019;9242.67
06.11.2019;9360.88
05.11.2019;9342.53
04.11.2019;9412.61
03.11.2019;9235.35
02.11.2019;9324.72
01.11.2019;9261.10
31.10.2019;9199.58
30.10.2019;9205.73
29.10.2019;9427.69
28.10.2019;9256.15
27.10.2019;9551.71
26.10.2019;9244.97
25.10.2019;8660.70
24.10.2019;7493.49
23.10.2019;7514.67
22.10.2019;8078.20
21.10.2019;8243.72
20.10.2019;8222.08
19.10.2019;7988.56
18.10.2019;7973.21
17.10.2019;8103.91
16.10.2019;8047.53
15.10.2019;8205.37
14.10.2019;8374.69
13.10.2019;8321.01
12.10.2019;8336.56
11.10.2019;8321.76
10.10.2019;8586.47
09.10.2019;8595.74
08.10.2019;8228.78
07.10.2019;8245.62
06.10.2019;7988.16
05.10.2019;8151.50
04.10.2019;8205.94
03.10.2019;8259.99
02.10.2019;8393.04
01.10.2019;8343.28
30.09.2019;8293.87
29.09.2019;8104.19
28.09.2019;8245.92
27.09.2019;8251.85
26.09.2019;8118.97
25.09.2019;8486.99
24.09.2019;9747.47
23.09.2019;9857.38
22.09.2019;10070.39
21.09.2019;10019.72
20.09.2019;10181.64
19.09.2019;10266.41
18.09.2019;10198.25
17.09.2019;10241.27
16.09.2019;10276.79
15.09.2019;10347.71
14.09.2019;10358.05
13.09.2019;10360.55
12.09.2019;10410.13
11.09.2019;10178.37
10.09.2019;10115.98
09.09.2019;10334.97
08.09.2019;10441.28
07.09.2019;10517.25
06.09.2019;10353.30
05.09.2019;10575.53
04.09.2019;10594.49
03.09.2019;10623.54
02.09.2019;10346.76
01.09.2019;9757.97
31.08.2019;9630.66
30.08.2019;9598.17
29.08.2019;9510.20
28.08.2019;9754.42
27.08.2019;10185.50
26.08.2019;10370.82
25.08.2019;10138.52
24.08.2019;10159.96
23.08.2019;10407.97
22.08.2019;10131.06
21.08.2019;10138.05
20.08.2019;10763.23
19.08.2019;10916.05
18.08.2019;10345.81
17.08.2019;10231.74
16.08.2019;10374.34
15.08.2019;10311.55
14.08.2019;10051.70
13.08.2019;10895.83
12.08.2019;11382.62
11.08.2019;11523.58
10.08.2019;11354.02
09.08.2019;11862.94
08.08.2019;11966.41
07.08.2019;11941.97
06.08.2019;11478.17
05.08.2019;11805.65
04.08.2019;10970.18
03.08.2019;10821.73
02.08.2019;10518.17
01.08.2019;10399.67
31.07.2019;10085.63
30.07.2019;9607.42
29.07.2019;9519.15
28.07.2019;9552.86
27.07.2019;9477.68
26.07.2019;9870.30
25.07.2019;9911.84
24.07.2019;9811.93
23.07.2019;9900.77
22.07.2019;10343.11
21.07.2019;10599.11
20.07.2019;10767.14
19.07.2019;10530.73
18.07.2019;10666.48
17.07.2019;9693.80
16.07.2019;9477.64
15.07.2019;10895.09
14.07.2019;10256.06
13.07.2019;11392.38
12.07.2019;11815.99
11.07.2019;11358.66
